"Date","Price","Open","High","Low","Vol.","Change %"
"04-04-2024","22,647.00","22,568.00","22,733.00","22,411.00","47.46K","0.50%"
"03-04-2024","22,534.00","22,481.50","22,628.50","22,411.00","41.94K","-0.22%"
"02-04-2024","22,583.00","22,470.00","22,613.00","22,464.50","40.72K","-0.11%"
"01-04-2024","22,608.00","22,477.50","22,656.00","22,477.50","25.16K","0.53%"
"29-03-2024","22,488.00","22,555.50","22,600.00","22,475.50","3.71K","0.72%"
"28-03-2024","22,326.90","22,216.00","22,523.50","22,163.50","41.31K","0.66%"
"27-03-2024","22,181.00","22,070.00","22,234.00","22,035.00","65.64K","0.41%"
"26-03-2024","22,090.00","22,108.50","22,149.50","22,044.00","99.83K","0.04%"
"25-03-2024","22,081.00","22,089.50","22,149.00","22,039.50","32.67K","-0.41%"
"22-03-2024","22,171.00","22,059.50","22,263.00","21,958.50","72.33K","0.26%"
"21-03-2024","22,113.50","22,072.00","22,159.00","22,025.50","48.34K","0.86%"
"20-03-2024","21,925.00","21,886.50","22,079.50","21,800.50","42.00K","0.29%"
"19-03-2024","21,862.00","22,078.00","22,085.00","21,840.00","49.94K","-1.24%"
"18-03-2024","22,136.50","22,048.00","22,226.50","22,027.00","37.31K","0.18%"
"15-03-2024","22,096.50","22,133.00","22,189.00","21,998.50","71.42K","-0.75%"
"14-03-2024","22,263.00","22,059.00","22,333.50","22,006.50","46.54K","0.76%"
"13-03-2024","22,095.50","22,446.50","22,525.00","22,005.00","63.47K","-1.53%"
"12-03-2024","22,439.00","22,408.50","22,544.50","22,386.50","37.63K","0.11%"
"11-03-2024","22,413.50","22,669.50","22,670.50","22,392.00","51.52K","-1.28%"
"08-03-2024","22,704.00","22,693.50","22,745.00","22,637.50","15.17K","0.69%"
"07-03-2024","22,549.00","22,630.50","22,673.00","22,531.00","33.71K","-0.19%"
"06-03-2024","22,591.00","22,433.00","22,669.50","22,323.50","46.89K","0.70%"
"05-03-2024","22,434.00","22,519.00","22,547.50","22,353.00","40.05K","-0.25%"
"04-03-2024","22,490.00","22,510.50","22,557.50","22,470.50","29.84K","0.18%"
"01-03-2024","22,450.50","22,167.50","22,564.00","22,167.50","52.77K","2.13%"
"29-02-2024","21,982.80","21,963.00","22,030.50","21,845.50","46.02K","0.45%"
"28-02-2024","21,884.50","22,212.50","22,247.50","21,871.00","55.81K","-1.39%"
"27-02-2024","22,193.00","22,164.50","22,230.00","22,093.50","80.84K","0.46%"
"26-02-2024","22,091.00","22,254.50","22,271.50","22,090.00","74.34K","-0.71%"
"23-02-2024","22,249.00","22,309.50","22,332.00","22,210.00","48.09K","-0.08%"
"22-02-2024","22,267.00","22,103.50","22,338.00","21,945.00","60.62K","0.99%"
"21-02-2024","22,048.00","22,276.50","22,282.00","22,030.00","44.14K","-0.84%"
"20-02-2024","22,234.50","22,135.50","22,316.00","22,079.50","42.08K","0.28%"
"19-02-2024","22,171.50","22,165.50","22,270.00","22,069.50","30.18K","0.27%"
"16-02-2024","22,112.50","22,062.00","22,195.50","22,053.00","34.46K","0.43%"
"15-02-2024","22,017.00","21,997.50","22,109.50","21,850.00","42.63K","0.47%"
"14-02-2024","21,913.00","21,652.00","22,003.50","21,605.50","48.67K","0.37%"
"13-02-2024","21,833.00","21,743.00","21,850.50","21,601.00","44.31K","0.65%"
"12-02-2024","21,692.50","21,893.50","21,969.50","21,671.00","34.81K","-0.72%"
"09-02-2024","21,850.00","21,761.00","21,940.00","21,670.00","41.58K","0.18%"
"08-02-2024","21,811.00","22,027.50","22,095.50","21,757.50","46.34K","-0.96%"
"07-02-2024","22,022.00","22,106.00","22,129.50","21,903.50","41.28K","0.08%"
"06-02-2024","22,004.50","21,842.50","22,145.00","21,795.50","41.35K","0.93%"
"05-02-2024","21,802.00","21,933.00","22,043.50","21,770.00","36.99K","-0.75%"
"02-02-2024","21,966.50","21,917.50","22,205.00","21,845.50","52.90K","1.05%"
"01-02-2024","21,739.00","21,830.50","21,930.00","21,726.00","49.30K","-0.27%"
"31-01-2024","21,797.50","21,681.50","21,898.00","21,572.00","46.02K","0.78%"
"30-01-2024","21,629.00","21,924.50","21,978.00","21,578.00","45.69K","-1.08%"
"29-01-2024","21,866.00","21,564.00","21,960.00","21,564.00","48.34K","2.40%"
"25-01-2024","21,352.60","21,464.00","21,496.50","21,245.00","36.61K","-0.53%"
"24-01-2024","21,465.50","21,312.50","21,530.50","21,149.50","91.86K","1.30%"
"23-01-2024","21,190.00","21,657.50","21,800.00","21,154.00","148.24K","-1.85%"
"20-01-2024","21,589.50","21,699.00","21,708.00","21,574.50","0.06K","-0.39%"
"19-01-2024","21,673.50","21,541.50","21,731.50","21,516.00","47.28K","0.94%"
"18-01-2024","21,471.50","21,486.50","21,560.00","21,299.50","52.65K","-0.49%"
"17-01-2024","21,578.00","21,824.50","21,872.50","21,389.50","70.27K","-2.03%"
"16-01-2024","22,026.00","22,126.00","22,144.50","21,821.00","40.51K","-0.53%"
"15-01-2024","22,143.50","22,027.00","22,188.50","22,009.00","31.70K","0.77%"
"12-01-2024","21,975.00","21,726.00","22,119.50","21,686.00","37.18K","1.30%"
"11-01-2024","21,694.00","21,714.00","21,766.50","21,605.00","33.14K","-0.03%"
"10-01-2024","21,700.00","21,590.00","21,741.00","21,505.00","29.41K","0.37%"
"09-01-2024","21,620.50","21,715.00","21,819.00","21,556.50","34.20K","0.20%"
"08-01-2024","21,576.50","21,792.50","21,815.50","21,563.00","41.80K","-0.93%"
"05-01-2024","21,778.00","21,745.50","21,849.00","21,685.00","33.01K","0.00%"
"04-01-2024","21,779.00","21,628.00","21,829.00","21,602.00","30.02K","0.92%"
"03-01-2024","21,580.00","21,692.50","21,718.00","21,549.50","39.49K","-0.79%"
"02-01-2024","21,752.00","21,865.00","21,886.00","21,681.00","33.55K","-0.56%"
"01-01-2024","21,874.00","21,776.50","22,032.00","21,776.50","4.86K","0.12%"
"29-12-2023","21,848.50","21,958.00","21,973.00","21,748.00","27.25K","0.32%"
"28-12-2023","21,778.70","21,775.00","21,787.50","21,689.50","25.12K","0.50%"
"27-12-2023","21,670.00","21,538.00","21,792.00","21,520.00","56.77K","0.78%"
"26-12-2023","21,502.00","21,393.50","21,540.00","21,370.00","59.54K","0.52%"
